hero_id,hero_name,primary_attr,roles,picks_Herald,wins_Herald,winrate_Herald,picks_Guardian,wins_Guardian,winrate_Guardian,picks_Crusader,wins_Crusader,winrate_Crusader,picks_Archon,wins_Archon,winrate_Archon,picks_Legend,wins_Legend,winrate_Legend,picks_Ancient,wins_Ancient,winrate_Ancient,picks_Divine,wins_Divine,winrate_Divine,picks_Immortal,wins_Immortal,winrate_Immortal
11,Shadow Fiend,agi,"Carry,Nuker",24667,11949,48.44,83658,40765,48.73,148830,72543,48.74,211166,102160,48.38,228192,109602,48.03,158390,75870,47.9,115412,55491,48.08,0,0,
12,Phantom Lancer,agi,"Carry,Escape,Pusher,Nuker",15453,8207,53.11,50895,26608,52.28,84848,44399,52.33,110900,58687,52.92,111029,58543,52.73,74277,39238,52.83,53897,28363,52.62,0,0,
13,Puck,int,"Initiator,Disabler,Escape,Nuker",3545,1531,43.19,10674,4671,43.76,18918,8432,44.57,27150,12450,45.86,31824,14784,46.46,23745,11290,47.55,21120,10409,49.29,0,0,
14,Pudge,str,"Disabler,Initiator,Durable,Nuker",27624,14486,52.44,105762,55309,52.3,197122,102792,52.15,273690,140905,51.48,275236,140546,51.06,179788,90647,50.42,129286,65051,50.32,0,0,
15,Razor,agi,"Carry,Durable,Nuker,Pusher",10222,5107,49.96,28501,14405,50.54,42215,21042,49.84,56117,28276,50.39,58899,29593,50.24,40791,20308,49.79,24231,12035,49.67,0,0,
16,Sand King,all,"Initiator,Disabler,Support,Nuker,Escape",6417,3322,51.77,20287,10243,50.49,31458,15646,49.74,40158,19800,49.31,38313,18340,47.87,23660,11296,47.74,13457,6256,46.49,0,0,
17,Storm Spirit,int,"Carry,Escape,Nuker,Initiator,Disabler",6999,3255,46.51,21977,10095,45.93,37902,17327,45.72,52594,24236,46.08,58546,27293,46.62,43585,20354,46.7,33001,15554,47.13,0,0,
18,Sven,str,"Carry,Disabler,Initiator,Durable,Nuker",10907,5425,49.74,34777,17490,50.29,56415,28486,50.49,74980,37989,50.67,78550,39883,50.77,55251,28207,51.05,40743,21024,51.6,0,0,
19,Tiny,str,"Carry,Nuker,Pusher,Initiator,Durable,Disabler",6610,2966,44.87,18788,8579,45.66,29172,12868,44.11,37979,16625,43.77,41454,18350,44.27,30957,13638,44.05,25693,11385,44.31,0,0,
20,Vengeful Spirit,agi,"Support,Initiator,Disabler,Nuker,Escape",11614,6228,53.62,41211,21986,53.35,73655,39490,53.61,106480,56868,53.41,115106,60631,52.67,74439,39044,52.45,40731,20801,51.07,0,0,
21,Windranger,all,"Carry,Support,Disabler,Escape,Nuker",19560,9566,48.91,62462,30400,48.67,105004,50623,48.21,148091,71160,48.05,163046,78501,48.15,115703,56458,48.8,84737,41728,49.24,0,0,
22,Zeus,int,"Nuker,Carry",17141,8483,49.49,55672,27893,50.1,92843,46791,50.4,127550,64196,50.33,130823,65297,49.91,84208,41467,49.24,51570,25210,48.89,0,0,
23,Kunkka,str,"Carry,Support,Disabler,Initiator,Durable,Nuker",5194,2540,48.9,16654,8082,48.53,27207,13287,48.84,38282,18832,49.19,43089,21403,49.67,29956,14972,49.98,18211,9119,50.07,0,0,
25,Lina,int,"Support,Carry,Nuker,Disabler",25233,12125,48.05,80454,38691,48.09,137717,67637,49.11,197981,98450,49.73,215811,108236,50.15,149037,75306,50.53,104073,52471,50.42,0,0,
26,Lion,int,"Support,Disabler,Nuker,Initiator",26990,13100,48.54,95413,46583,48.82,169492,82927,48.93,240572,117705,48.93,254826,124190,48.74,167358,81237,48.54,101252,49683,49.07,0,0,
27,Shadow Shaman,int,"Support,Pusher,Disabler,Nuker,Initiator",20677,10751,51.99,69292,35663,51.47,112396,58159,51.74,146210,75827,51.86,143293,74230,51.8,88072,45693,51.88,48084,24690,51.35,0,0,
28,Slardar,str,"Carry,Durable,Initiator,Disabler,Escape",10306,5379,52.19,35248,17915,50.83,58344,29521,50.6,78940,39844,50.47,80885,40533,50.11,54504,26834,49.23,35677,17340,48.6,0,0,
29,Tidehunter,str,"Initiator,Durable,Disabler,Nuker,Carry",7894,3950,50.04,27100,13613,50.23,49074,24834,50.61,69724,34942,50.11,74430,36954,49.65,49354,24505,49.65,31271,15466,49.46,0,0,
30,Witch Doctor,int,"Support,Nuker,Disabler",18584,9838,52.94,68163,36215,53.13,117680,62049,52.73,158140,82694,52.29,153259,79337,51.77,88864,45370,51.06,43991,21842,49.65,0,0,
31,Lich,int,"Support,Nuker",10938,5679,51.92,37109,19532,52.63,64798,34506,53.25,94183,50048,53.14,106988,56077,52.41,76526,40064,52.35,51509,26642,51.72,0,0,
32,Riki,agi,"Carry,Escape,Disabler",9745,4958,50.88,26966,13971,51.81,40137,20895,52.06,48972,25535,52.14,43471,22689,52.19,26923,14129,52.48,15415,7937,51.49,0,0,
33,Enigma,all,"Disabler,Initiator,Pusher",5268,2472,46.92,16835,8244,48.97,28399,14165,49.88,36969,18427,49.84,37135,18933,50.98,26250,14151,53.91,24779,13955,56.32,0,0,
34,Tinker,int,"Carry,Nuker,Pusher",5729,2573,44.91,18939,8625,45.54,31605,14329,45.34,42701,19727,46.2,44068,20954,47.55,30924,14935,48.3,22534,11188,49.65,0,0,
35,Sniper,agi,"Carry,Nuker",30440,15763,51.78,98261,50298,51.19,160153,81293,50.76,208738,104340,49.99,197358,97706,49.51,108739,52959,48.7,49890,23402,46.91,0,0,
36,Necrophos,int,"Carry,Nuker,Durable,Disabler",18757,10103,53.86,65351,34307,52.5,112707,58497,51.9,154306,79195,51.32,163095,82940,50.85,107943,54486,50.48,71303,35650,50.0,0,0,
37,Warlock,int,"Support,Initiator,Disabler",7355,3745,50.92,25899,13127,50.69,42805,21507,50.24,56898,28321,49.78,54427,26710,49.07,32089,15537,48.42,16832,7734,45.95,0,0,
38,Beastmaster,all,"Initiator,Disabler,Durable,Nuker",3029,1446,47.74,9070,4043,44.58,14788,6570,44.43,19166,8334,43.48,17833,7957,44.62,11971,5378,44.93,9452,4450,47.08,0,0,
39,Queen of Pain,int,"Carry,Nuker,Escape",9019,4221,46.8,31884,15007,47.07,58569,27700,47.29,87843,41490,47.23,97115,45924,47.29,65549,30753,46.92,41359,19306,46.68,0,0,
40,Venomancer,all,"Support,Nuker,Initiator,Pusher,Disabler",10087,4903,48.61,32975,15665,47.51,54943,26048,47.41,71125,33993,47.79,67793,32122,47.38,38985,18181,46.64,19546,9070,46.4,0,0,
41,Faceless Void,agi,"Carry,Initiator,Disabler,Escape,Durable",11396,5476,48.05,38797,18851,48.59,65391,31547,48.24,85120,40931,48.09,83656,40746,48.71,52383,25725,49.11,30060,14873,49.48,0,0,
42,Wraith King,str,"Carry,Support,Durable,Disabler,Initiator",14677,8215,55.97,51720,28667,55.43,89824,50027,55.69,124549,68040,54.63,123437,66843,54.15,73323,39432,53.78,33719,17730,52.58,0,0,
43,Death Prophet,all,"Carry,Pusher,Nuker,Disabler",7362,3525,47.88,18781,8976,47.79,26149,12508,47.83,32736,15751,48.12,32971,16030,48.62,21819,10600,48.58,15913,7779,48.88,0,0,
44,Phantom Assassin,agi,"Carry,Escape",25170,13233,52.57,77918,40577,52.08,115619,59717,51.65,134490,69097,51.38,113951,57628,50.57,60060,30022,49.99,28147,14098,50.09,0,0,
45,Pugna,int,"Nuker,Pusher",5605,2580,46.03,17707,8639,48.79,27975,13845,49.49,37119,18499,49.84,38517,19781,51.36,26414,13705,51.89,15560,7835,50.35,0,0,
46,Templar Assassin,agi,"Carry,Escape",7002,3164,45.19,21719,9772,44.99,36330,16501,45.42,47653,21650,45.43,48080,21875,45.5,32358,14857,45.91,21082,9454,44.84,0,0,
47,Viper,agi,"Carry,Durable,Initiator,Disabler",17594,8445,48.0,45532,21899,48.1,62228,29740,47.79,71464,34510,48.29,63677,30800,48.37,36771,17814,48.45,21151,10320,48.79,0,0,
48,Luna,agi,"Carry,Nuker,Pusher",12141,6165,50.78,38348,19517,50.89,63259,32446,51.29,87503,44264,50.59,96556,48557,50.29,72232,35929,49.74,59453,29607,49.8,0,0,
49,Dragon Knight,str,"Carry,Pusher,Durable,Disabler,Initiator,Nuker",7369,3846,52.19,25336,13284,52.43,42524,21763,51.18,58997,30129,51.07,62046,31715,51.12,43789,22423,51.21,32908,16986,51.62,0,0,
50,Dazzle,all,"Support,Nuker,Disabler",6100,2987,48.97,20973,10435,49.75,34478,17500,50.76,44710,22771,50.93,42720,21887,51.23,25790,13357,51.79,16126,8384,51.99,0,0,
51,Clockwerk,str,"Initiator,Disabler,Durable,Nuker",3941,1927,48.9,13785,6535,47.41,25905,12306,47.5,38522,18242,47.35,44373,21251,47.89,34370,16687,48.55,29904,15008,50.19,0,0,
52,Leshrac,int,"Carry,Support,Nuker,Pusher,Disabler",2532,1210,47.79,7700,3884,50.44,12602,6247,49.57,16055,8021,49.96,16221,8059,49.68,12155,6201,51.02,10758,5571,51.78,0,0,
53,Nature's Prophet,all,"Carry,Pusher,Escape,Nuker",13573,6342,46.73,44608,19501,43.72,71958,30615,42.55,91335,38507,42.16,90614,38265,42.23,58315,24758,42.46,40548,17651,43.53,0,0,
54,Lifestealer,str,"Carry,Durable,Escape,Disabler",14043,7265,51.73,57097,29990,52.52,112543,59540,52.9,175804,93546,53.21,201273,107694,53.51,143029,76326,53.36,100582,52980,52.67,0,0,
55,Dark Seer,int,"Initiator,Escape,Disabler",4514,2153,47.7,15862,7782,49.06,29579,14480,48.95,43962,21325,48.51,52385,25875,49.39,43904,21875,49.82,44657,22820,51.1,0,0,
56,Clinkz,agi,"Carry,Escape,Pusher",10289,5099,49.56,27147,13189,48.58,36913,17973,48.69,41841,20710,49.5,39084,19604,50.16,25143,12691,50.48,17518,8879,50.69,0,0,
57,Omniknight,str,"Support,Durable,Nuker",3320,1557,46.9,9748,4677,47.98,15342,7589,49.47,19728,9932,50.34,20088,10224,50.9,13677,7084,51.79,9349,4874,52.13,0,0,
58,Enchantress,int,"Support,Pusher,Durable,Disabler",6098,2906,47.65,14813,7149,48.26,19229,9194,47.81,21426,10182,47.52,20218,9694,47.95,14100,6726,47.7,12123,5804,47.88,0,0,
59,Huskar,str,"Carry,Durable,Initiator",9852,4533,46.01,23279,10254,44.05,29504,13228,44.83,33183,14867,44.8,30518,13905,45.56,19770,8987,45.46,13764,6334,46.02,0,0,
60,Night Stalker,str,"Carry,Initiator,Durable,Disabler,Nuker",5679,2726,48.0,20779,10168,48.93,39673,19767,49.82,65537,33575,51.23,82019,42750,52.12,61083,32260,52.81,47106,24701,52.44,0,0,
61,Broodmother,agi,"Carry,Pusher,Escape,Nuker",4158,2058,49.49,10952,5551,50.68,15310,7567,49.43,16293,8097,49.7,13640,6753,49.51,7619,3862,50.69,5171,2640,51.05,0,0,
62,Bounty Hunter,agi,"Escape,Nuker",9153,4534,49.54,31383,15994,50.96,56055,28798,51.37,78246,41015,52.42,88594,48019,54.2,69864,38634,55.3,67313,38002,56.46,0,0,
63,Weaver,agi,"Carry,Escape",10239,4900,47.86,27135,12760,47.02,38980,18237,46.79,47986,22515,46.92,45403,21361,47.05,27767,12961,46.68,17880,8472,47.38,0,0,
64,Jakiro,int,"Support,Nuker,Pusher,Disabler",10558,5301,50.21,36103,17929,49.66,61342,30662,49.99,83298,40534,48.66,83147,39862,47.94,50694,23895,47.14,26596,12449,46.81,0,0,
65,Batrider,all,"Initiator,Disabler,Escape",1456,636,43.68,4205,1829,43.5,6817,2978,43.68,8329,3536,42.45,8218,3602,43.83,5514,2434,44.14,4493,2075,46.18,0,0,
66,Chen,int,"Support,Pusher",690,294,42.61,1952,860,44.06,2966,1346,45.38,3720,1638,44.03,3316,1451,43.76,2150,975,45.35,2044,995,48.68,0,0,
67,Spectre,agi,"Carry,Durable,Escape",12946,7211,55.7,49482,27114,54.8,87740,47776,54.45,119422,64433,53.95,122743,66311,54.02,79872,42961,53.79,49378,26407,53.48,0,0,
68,Ancient Apparition,int,"Support,Disabler,Nuker",7649,3897,50.95,26325,13733,52.17,47686,24955,52.33,65846,34372,52.2,68556,35510,51.8,42091,21425,50.9,21730,10788,49.65,0,0,
69,Doom,str,"Carry,Disabler,Initiator,Durable,Nuker",4575,2120,46.34,16336,7530,46.09,30249,14068,46.51,47006,22067,46.95,56554,26639,47.1,43851,21073,48.06,37845,18756,49.56,0,0,
70,Ursa,agi,"Carry,Durable,Disabler",8085,3613,44.69,22961,10482,45.65,36523,17130,46.9,48701,22973,47.17,51244,24261,47.34,33737,16085,47.68,20172,9686,48.02,0,0,
71,Spirit Breaker,str,"Carry,Initiator,Disabler,Durable,Escape",19290,10008,51.88,63617,32908,51.73,105792,54633,51.64,145023,75372,51.97,152677,79471,52.05,102432,53463,52.19,69409,36145,52.08,0,0,
72,Gyrocopter,agi,"Carry,Nuker,Disabler",3130,1423,45.46,10102,4478,44.33,17511,7788,44.47,25485,11556,45.34,27660,12469,45.08,19297,8898,46.11,12103,5528,45.67,0,0,
73,Alchemist,str,"Carry,Support,Durable,Disabler,Initiator,Nuker",4280,2049,47.87,13693,6556,47.88,23042,11000,47.74,29339,13751,46.87,27912,13015,46.63,17169,7939,46.24,9573,4329,45.22,0,0,
74,Invoker,int,"Carry,Nuker,Disabler,Escape,Pusher",16422,8156,49.67,60632,30085,49.62,116578,57684,49.48,177609,88478,49.82,201408,101263,50.28,146107,74878,51.25,103388,53625,51.87,0,0,
75,Silencer,int,"Carry,Support,Disabler,Initiator,Nuker",10926,5800,53.08,41783,21632,51.77,74390,37888,50.93,102832,51910,50.48,102990,51645,50.15,62719,30980,49.39,34402,16912,49.16,0,0,
76,Outworld Devourer,int,"Carry,Nuker,Disabler",7391,3570,48.3,24116,12001,49.76,45594,23484,51.51,71972,38038,52.85,85569,46048,53.81,63211,34143,54.01,46930,25164,53.62,0,0,
77,Lycan,str,"Carry,Pusher,Durable,Escape",1742,841,48.28,4890,2251,46.03,7973,3762,47.18,10319,4903,47.51,10472,5069,48.41,7653,3793,49.56,6785,3499,51.57,0,0,
78,Brewmaster,all,"Carry,Initiator,Durable,Disabler,Nuker",1605,802,49.97,4719,2327,49.31,7928,3977,50.16,11427,5835,51.06,13601,7089,52.12,11038,5835,52.86,10950,5743,52.45,0,0,
79,Shadow Demon,int,"Support,Disabler,Initiator,Nuker",2555,1064,41.64,7207,3068,42.57,12558,5465,43.52,18012,8041,44.64,21323,9734,45.65,15989,7329,45.84,12727,5886,46.25,0,0,
80,Lone Druid,agi,"Carry,Pusher,Durable",3627,1814,50.01,13281,6560,49.39,23884,11549,48.35,32417,15561,48.0,32766,15728,48.0,22062,10387,47.08,17175,8290,48.27,0,0,
81,Chaos Knight,str,"Carry,Disabler,Durable,Pusher,Initiator",8695,4576,52.63,27501,14174,51.54,40010,20661,51.64,44228,22766,51.47,37483,19287,51.46,20862,10506,50.36,11679,5986,51.25,0,0,
82,Meepo,agi,"Carry,Escape,Nuker,Disabler,Initiator,Pusher",3186,1650,51.79,8506,4355,51.2,12362,6312,51.06,14170,7439,52.5,12849,6714,52.25,8266,4410,53.35,5901,3203,54.28,0,0,
83,Treant Protector,str,"Support,Initiator,Durable,Disabler,Escape",5376,2613,48.6,19035,9189,48.27,34722,16941,48.79,49954,24526,49.1,56923,28198,49.54,43551,22018,50.56,44625,22904,51.33,0,0,
84,Ogre Magi,str,"Support,Nuker,Disabler,Durable,Initiator",21828,11463,52.52,77752,40441,52.01,130901,66938,51.14,171112,86702,50.67,162452,81518,50.18,94245,46608,49.45,47782,23336,48.84,0,0,
85,Undying,str,"Support,Durable,Disabler,Nuker",13754,7008,50.95,53037,27022,50.95,97568,49889,51.13,140530,71769,51.07,152197,77377,50.84,103788,52232,50.33,75842,37672,49.67,0,0,
86,Rubick,int,"Support,Disabler,Nuker",12706,6180,48.64,51071,25121,49.19,106534,52436,49.22,178148,88826,49.86,223557,110969,49.64,171833,86178,50.15,124198,62199,50.08,0,0,
87,Disruptor,int,"Support,Disabler,Nuker,Initiator",5206,2484,47.71,21448,10634,49.58,42158,20899,49.57,69753,34411,49.33,83082,41556,50.02,63186,31776,50.29,46844,23764,50.73,0,0,
88,Nyx Assassin,all,"Disabler,Nuker,Initiator,Escape",5211,2722,52.24,18944,9784,51.65,35707,18605,52.1,51888,27124,52.27,58665,30612,52.18,43123,22716,52.68,29398,15555,52.91,0,0,
89,Naga Siren,agi,"Carry,Support,Pusher,Disabler,Initiator,Escape",4116,2067,50.22,10694,5308,49.64,13652,6577,48.18,13619,6554,48.12,10316,4932,47.81,5498,2627,47.78,3844,1895,49.3,0,0,
90,Keeper of the Light,int,"Support,Nuker,Disabler",9030,4266,47.24,28310,13553,47.87,44819,21910,48.89,56514,28193,49.89,56104,28346,50.52,39190,20254,51.68,32514,17111,52.63,0,0,
91,Io,all,"Support,Escape,Nuker",5019,2439,48.6,16398,7952,48.49,29997,14786,49.29,39999,19346,48.37,40679,19668,48.35,29602,14401,48.65,24402,12115,49.65,0,0,
92,Visage,all,"Support,Nuker,Durable,Disabler,Pusher",2022,981,48.52,6076,3053,50.25,9581,4818,50.29,12141,6434,52.99,12495,6754,54.05,9178,5003,54.51,8350,4638,55.54,0,0,
93,Slark,agi,"Carry,Escape,Disabler,Nuker",10330,5423,52.5,36773,18799,51.12,64823,32468,50.09,94456,46429,49.15,104492,51491,49.28,72950,36504,50.04,48681,24707,50.75,0,0,
